0 3000 8.69877e-05
0 3001 4.28974e-05
2099 3477 2.87803e-05
1963 4461 6.50367e-05
2651 4205 7.33065e-05
2941 3420 2.35854e-05
2498 5722 2.48046e-05
2498 6609 2.56692e-05
2055 4711 4.79559e-05
2403 5053 3.27214e-05
2651 4222 4.03221e-05
1746 6715 2.42717e-05
0 4111 6.56779e-05
2099 5031 2.9444e-05
1002 6810 4.92932e-05
764 6477 8.99678e-05
1531 3223 1.30069e-05
2099 5273 2.93748e-05
2260 6841 3.69927e-05
0 4304 1.44659e-05
2099 5413 2.94664e-05
926 4422 1.8486e-05
2099 5621 2.85512e-05
2321 5853 7.32835e-05
2941 5540 3.9881e-05
223 3334 2.4966e-05
1531 3556 8.59281e-06
413 3959 2.74344e-05
877 3411 8.99678e-05
781 4780 3.97169e-05
1156 3563 6.79927e-05
0 5222 1.20196e-05
1156 4818 6.55878e-05
2257 3128 3.15211e-05
1449 3358 1.72685e-05
1156 5826 6.19383e-05
2257 3130 1.80533e-05
877 3417 3.14346e-05
1116 3014 4.4232e-05
2651 5956 2.84619e-05
1599 4184 3.63513e-05
0 6333 3.91614e-05
1575 6345 3.97415e-05
1034 4034 8.99678e-05
2518 5033 8.09326e-05
1599 4559 3.68436e-05
1186 3146 5.37228e-05
781 6739 3.81261e-05
1531 4370 8.42366e-06
0 6445 1.21738e-05
2403 5249 5.62328e-05
2677 5846 8.84049e-05
2403 5494 5.28708e-05
2430 5212 3.61343e-05
1599 5205 3.71365e-05
1599 5344 3.6056e-05
1034 5930 8.74077e-05
0 6556 1.52494e-05
135 5101 8.77871e-05
2722 3592 2.9771e-05
1599 5871 3.36634e-05
2651 4258 5.35039e-05
1002 4517 4.59844e-05
0 6667 2.83482e-05
1012 4012 4.03815e-05
1351 4070 3.51672e-05
0 6778 8.29788e-05
2941 5067 8.99678e-05
1928 3786 2.84272e-05
2160 3959 1.71048e-05
0 6889 6.01369e-05
1461 4596 4.6438e-05
2257 4734 2.92012e-05
1116 3023 3.59277e-05
2257 5118 1.60044e-05
664 6187 4.90938e-05
405 3405 8.99678e-05
2483 4744 2.76383e-05
2257 6724 1.70533e-05
1116 3024 5.16722e-05
681 6117 3.71853e-05
703 6259 5.24384e-05
2941 4761 2.0549e-05
742 3742 8.68046e-05
1012 5775 3.98809e-05
2572 5002 8.92932e-05
1012 5863 3.97648e-05
2572 6572 8.99678e-05
2547 5695 8.60506e-05
1437 5628 7.90945e-05
1257 4192 1.28368e-05
1959 3784 3.66161e-05
470 4103 8.99678e-05
2494 5177 8.64144e-05
1307 3098 3.64912e-05
1429 4322 3.85559e-05
1533 6073 8.45072e-05
1042 5981 2.61336e-05
1959 4455 3.67855e-05
0 4243 3.71756e-05
1959 4642 1.12537e-05
1429 4757 3.60643e-05
0 4458 1.45352e-05
2740 6740 8.99678e-05
0 4831 8.14436e-05
1959 4925 3.53692e-05
2941 4712 2.34609e-05
2941 4743 3.76942e-05
1824 6069 4.99206e-05
2270 3557 3.18413e-05
1817 6340 8.76686e-05
2116 3404 2.73601e-05
0 6147 6.24329e-05
1488 3866 4.78279e-05
1990 4347 8.35079e-05
1542 6731 3.25536e-05
1429 6833 3.74897e-05
871 4047 2.65497e-05
1531 3112 8.70779e-05
1959 6972 1.20743e-05
129 3757 2.44967e-05
1044 5891 1.29371e-05
1233 6466 4.18556e-05
